epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,53715.6,0.67763,0.54724,1.08623,0.59549,0.70373,0.64093,0.52396,0.70857,0.76265,1.07856,0.002377,0.002377,0.002377
79,54389.7,0.67381,0.54254,1.08582,0.59498,0.70333,0.64054,0.52343,0.70696,0.76092,1.07763,0.002278,0.002278,0.002278
80,55063.9,0.67103,0.54068,1.08413,0.59532,0.70304,0.64052,0.52356,0.70555,0.76021,1.07658,0.002179,0.002179,0.002179
81,55733.4,0.6649,0.53653,1.07784,0.59664,0.70189,0.6404,0.52384,0.70447,0.76,1.07578,0.00208,0.00208,0.00208
82,56406.7,0.66115,0.53274,1.07937,0.5959,0.70142,0.64078,0.52464,0.7032,0.75929,1.07507,0.001981,0.001981,0.001981
83,57077.6,0.65986,0.52759,1.07524,0.67388,0.70074,0.64079,0.52508,0.70189,0.75896,1.07461,0.001882,0.001882,0.001882
84,57746.8,0.65751,0.5281,1.07245,0.67752,0.70134,0.64077,0.52546,0.70061,0.75845,1.07366,0.001783,0.001783,0.001783
85,58420.9,0.65263,0.52299,1.07225,0.68163,0.70048,0.64126,0.5262,0.69935,0.75803,1.07301,0.001684,0.001684,0.001684
86,59094.9,0.64678,0.51677,1.06927,0.68408,0.69995,0.64171,0.52665,0.69811,0.7574,1.07234,0.001585,0.001585,0.001585
87,59766.4,0.64734,0.51439,1.07064,0.68511,0.69956,0.64167,0.52683,0.69682,0.75663,1.07136,0.001486,0.001486,0.001486
88,60439.1,0.64155,0.51119,1.06686,0.68206,0.69982,0.64128,0.52667,0.69601,0.75625,1.07092,0.001387,0.001387,0.001387
89,61110.8,0.63373,0.50257,1.06317,0.68247,0.69971,0.64144,0.52689,0.69502,0.75644,1.0703,0.001288,0.001288,0.001288
90,61786.8,0.63217,0.50171,1.06183,0.75968,0.70088,0.64116,0.52692,0.69391,0.75704,1.06946,0.001189,0.001189,0.001189
91,62509.4,0.54602,0.40049,1.01061,0.76009,0.7006,0.64148,0.5278,0.69269,0.75826,1.06883,0.00109,0.00109,0.00109
92,63177.6,0.53424,0.38918,1.00578,0.762,0.69991,0.6421,0.52813,0.69082,0.7598,1.06763,0.000991,0.000991,0.000991
93,63845.9,0.52663,0.38185,0.99824,0.76353,0.69988,0.64203,0.52835,0.68925,0.7622,1.06674,0.000892,0.000892,0.000892
94,64512.4,0.52013,0.3773,0.99633,0.76371,0.69962,0.6423,0.52918,0.68795,0.76434,1.0665,0.000793,0.000793,0.000793
95,65177.8,0.5145,0.37476,0.99177,0.76454,0.69915,0.64197,0.5289,0.6865,0.76638,1.06588,0.000694,0.000694,0.000694
96,65843.4,0.50427,0.36604,0.98608,0.76488,0.698,0.64251,0.52975,0.68474,0.76901,1.06498,0.000595,0.000595,0.000595
97,66508.7,0.4996,0.36101,0.98477,0.76415,0.69737,0.64236,0.5297,0.68316,0.77068,1.06399,0.000496,0.000496,0.000496
98,67181.3,0.49301,0.35681,0.97985,0.7672,0.69688,0.64228,0.53023,0.68161,0.77203,1.0633,0.000397,0.000397,0.000397
99,67851,0.48681,0.35205,0.97685,0.76682,0.69551,0.64195,0.53014,0.67962,0.77445,1.06166,0.000298,0.000298,0.000298
100,68521.8,0.48292,0.34944,0.9754,0.76817,0.69625,0.64232,0.5309,0.67791,0.77637,1.06085,0.000199,0.000199,0.000199
